News Title,Paragraphs
"Man Utd latest: Don't judge us now, says Ten Hag","Football

Sorry, this blog is currently unavailable. Please try again later.

© 2024 Sky UK"
Johnson continues red-hot form to earn second Spurs victory in EL,"Football

Ferencvaros
                          vs Tottenham Hotspur. UEFA Europa League.

5:45pm, Thursday 3rd October 2024.

Groupama Arena.

Match report as Tottenham beat Ferencvaros to earn second Europa League victory; Pape Sarr nets opener for Spurs after hosts have goal ruled out for offside; Johnson comes off bench to scores his fifth goal in five games; Barnabas Varga bags late goal for hosts

Thursday 3 October 2024 23:43, UK

Brennan Johnson scored his fifth goal in five games as Tottenham won 2-1 at Hungarian side Ferencvaros to earn their second Europa League victory.

Johnson came off the bench in the second half to continue his red-hot streak although Spurs' latest triumph in Europe, with a much-changed team from their 3-0 win at Manchester United that featured first starts for youngsters Mikey Moore and Will Lankshear, wasn't straightforward.

Pape Sarr gave Ange Postecoglou's youthful side the lead against the run of play in the 23rd minute with a close-range finish that fell kindly to him in the box after two ricochets. The hosts had seen Barnabas Varga's header ruled out for a tight offside and forced Guglielmo Vicario into a spectacular reaction save.

Pedro Porro hit the foot of the left post before the break and in the second half 19-year-old striker Lankshear volleyed inches over at a corner. Timo Werner continued Spurs' wastefulness in front of goal, hitting the side-netting after trying to round the goalkeeper.

However, Johnson injected quality and confidence to the final third. His powerful, first-time shot that was heading for the top-left corner struck the crossbar and moments later he slotted home in off the left post with four minutes to play.

The hosts, to their credit, pushed Spurs until the end with Varga finally getting his goal and beating Vicario with a smart finish from a low cross in the 90th minute.

The future looks bright for Tottenham. For the first time since February 2009, Spurs started four teenagers in a major European match - and they didn't disappoint.

Europa League fixtures

Europa League table

Europa League results

Get Sky Sports

Archie Gray, 18, once again showed his versatility by partnering Cristian Romero at centre-back and then later when moved to left-back. Lucas Bergvall, at the same age, looked composed in midfield while Will Lankshear, 19, put himself in goal-scoring positions.

But it was the 17-year-old Mikey Moore who shone brightest. The winger was fearless even after being on the receiving end of a strong challenge within minutes of kick-off.

""His ability to deal with pressure and keep the ball in really tight areas and make good, really clear decisions"" impressed manager Ange Postecoglou the most.

He added: ""I couldn't be happier for him but also pretty pleased that he's part of our football club."" Spurs have a gem.

Please use Chrome browser for a more accessible video player

Tottenham manager Ange Postecoglou said:

""We made quite a number of changes to the team, including bringing the young boys in but I thought they handled it really well.

""We defended well, played some good football, created some good chances, maybe could have had a couple more and most importantly won an away European tie which is a credit to the lads.""

On Mikey Moore: ""He was outstanding. For a 17-year-old to play 90 minutes in a European away tie, he handled it superbly - I knew he would. It'll help his growth. I didn't feel like I needed to take him off, he still looked strong at the end and was still contributing.""

Tom from Southampton became a millionaire for free with Super 6! Could you be the next jackpot winner? Play for free!

© 2024 Sky UK"
Carsley calls up Solanke but leaves out Maguire and overlooks Maddison again,"Football

Dominic Solanke has been recalled after a seven-year absence, while Harry Maguire is left out and James Maddison is overlooked again; England face Greece at Wembley on October 10 and travel to Finland on October 13 as their Nations League campaign continues under interim boss Lee Carsley

Thursday 3 October 2024 23:05, UK

Dominic Solanke has received his first England call-up in seven years but Harry Maguire has been left out of the latest squad named by interim boss Lee Carsley.

Solanke, 27, has scored three goals in his past three appearances for Tottenham and will now have the chance to add to his solitary England cap, which he earned as a sub against Brazil in a friendly in 2017, when the Three Lions face Greece and Finland in the Nations League this month.

However, Carsley - who continues to oversee the national team while the FA decides on a permanent successor to Gareth Southgate - has left Manchester United centre-back Maguire out of his group. The defender missed United's defeat to Tottenham on Sunday with an injury but was in the club's travelling squad to play Porto in the Europa League on Thursday night. ​​​​

""Harry was very positive in the conversation we had,"" said Carsley about Maguire, who featured during last month's Nations League opener against Republic of Ireland. ""It was a case of talking about what the decision was, we have some really good centre-backs who are keen to play. Harry still has an important part to play in this squad in the campaign.""

Solanke's Spurs team-mate James Maddison has once again been overlooked by the interim boss, while Jarrod Bowen and Eberechi Eze - who appeared as subs in both fixtures last month - have been dropped, as has Tino Livramento.

Jude Bellingham is back in the fold after missing the September games with injury, as is Kyle Walker.

Morgan Rogers, who has made an impressive start to the season for Aston Villa, is set to once again be with the U21 squad rather than the seniors.

England fixtures

Live football on Sky Sports this week

Stream the biggest moments on NOW

""It was a chance to have a look at other players,"" said Carsley on the omissions. ""It's nothing to do with form. It's looking at the next two camps to look at other players.

""The players left out all have a case but we saw the benefit in the last camp of the squad being fresh, feeling fresh and a lot of energy in it. It's not just a copy and a paste, I want them to feel like they all have earned their place in the squad. People want to know where they stand long-term, I've told all the players this is a short-term situation.""

England currently sit second in their Nations League Group B2, level on points with Greece having beaten Ireland and Finland in Carsley's first two games in charge.

England will host Greece at Wembley on Thursday October 10 before going to Finland on Sunday October 13.

Please use Chrome browser for a more accessible video player

Goalkeepers: Jordan Pickford (Everton), Dean Henderson (Crystal Palace), Nick Pope (Newcastle).

Defenders: Trent Alexander-Arnold (Liverpool), Levi Colwill (Chelsea), Marc Guehi (Crystal Palace), Ezri Konsa (Aston Villa), John Stones (Man City), Rico Lewis (Man City), Kyle Walker (Man City).

Midfielders: Conor Gallagher (Atletico Madrid), Kobbie Mainoo (Man Utd), Morgan Gibbs-White (Nottm Forest), Angel Gomes (Lille), Declan Rice (Arsenal), Cole Palmer (Chelsea), Phil Foden (Man City), Jude Bellingham (Real Madrid).

Forwards: Noni Madueke (Chelsea), Jack Grealish (Man City), Anthony Gordon (Newcastle), Harry Kane (Bayern Munich), Bukayo Saka (Arsenal), Ollie Watkins (Aston Villa), Dominic Solanke (Tottenham).

Sky Sports' Sam Blitz:

The usual annual James Maddison cycle goes: start the season really well, get into the England squad, get injured or see a drop-off in form and then miss out on the Three Lions spot.

This year, however, Maddison has started the season brilliantly for Tottenham and that still is not enough to get into Lee Carsley's set-up.

The midfielder's absence from this squad is particularly surprising given Dominic Solanke has been named in this England squad.

The pair have been excellent together in the Spurs attack but only one has made the cut. Is it the right call?

Sky Sports' Peter Smith:

Seven years. It's been a long wait for Dominic Solanke to return to the England fold but the in-form Tottenham forward gets his chance to add to his solitary cap this month. And deservedly so, given the performances of the former Chelsea and Liverpool forward for Bournemouth last season and in his initial outings for new club Spurs.

Solanke - who has three in three for his club - made his England debut as a sub against Brazil in a 2017 friendly at Wembley. He will be aiming to run out at the national stadium again next Thursday. There will be plenty of competition for game time, though, with Harry Kane and Ollie Watkins also included...

Sky Sports' Nick Wright:

I'm firmly in agreement with Jamie Carragher. Cole Palmer is too good not to start for England. With six goals and four assists in the Premier League this season, to add to the 22 and 11 respectively he contributed last term, he continues to scale new heights.

Time to give him the keys and that means putting him at No 10. The 22-year-old is just as effective from the right, of course. But Bukayo Saka's quality and consistency make him undroppable, in my opinion. It therefore makes most sense to have Palmer on the inside.

Readjustment would be required elsewhere to make this work. But I think it's worth it. Jude Bellingham can drop deeper, into a box-to-box role alongside Declan Rice. Phil Foden, meanwhile, has to wait in the wings, with Anthony Gordon's pace making him an invaluable outlet on the left flank.

If he is not given the keys to the England squad just yet, interim boss Lee Carsley might opt to use Cole Palmer in more surprising roles across the starting lineup.

Carsley has praised the versatility of the Chelsea star ahead of the upcoming international break, while also admitting he could play in the holding midfield role.

""You just want Cole on the ball,"" he said when asked about Palmer's best position.

""Any area that he is on the ball, he is effective. He stands out so much because we haven't always produced these types of players who can receive the ball under pressure, play forward, be creative and play numerous positions.

""We are producing players that are multi-positional and can do different things. Can play deep, wide, as a nine and a ten.

""For the 21s we played him as a holding midfielder.""

Carsley was later asked about who could potentially fill the void at left-back with Luke Shaw yet to return to full fitness, where he added: ""[Trent Alexander-Arnold] he can play there. Bukayo [Saka] and Cole can play there.

""There's quite a few but you want to get the best out of them in their most natural positions. It's important that we aren't predictable.""

England host Greece at Wembley on October 10 at 7.45pm. Lee Carsely's men then travel to the Helsinki Olympic Stadium to take on Finland on October 13 at 5pm.

Tom from Southampton became a millionaire for free with Super 6! Could you be the next jackpot winner? Play for free!

© 2024 Sky UK"
Humphries denies Bunting to clinch Players Championship crown,"Darts

Luke Humphries fought back from 7-6 adrift to beat Stephen Bunting 8-7; The 29-year-old is preparing for the defence of his World Grand Prix crown next week, live on Sky Sports

Thursday 3 October 2024 21:39, UK

Luke Humphries clinched his maiden Players Championship title of 2024 in Wigan on Thursday, producing a late burst to deny Stephen Bunting in a compelling final.

Humphries fought back from 7-6 adrift to triumph 8-7 at the Robin Park Tennis Centre, marking the perfect preparation ahead of his BoyleSports World Grand Prix title defence next week.

The world number one will play Bunting in a blockbuster opening-round tie in Leicester on Monday, and he struck an early psychological blow to secure his third ranking title of the campaign.

""This was important for me. You go through spells where you're playing fantastic darts, and then you go through spells where you can't buy a win, and that can happen,"" said Humphries

""I'm dedicated to this sport and I know I can push the levels higher and higher, but it's important to gain a bit of confidence from somewhere.""

Humphries will return to big-stage action at the Mattioli Arena on Monday to defend his World Grand Prix title, live on Sky Sports.

""When you're on the big stage, it feels different. I feel better than ever on that big stage,"" added the World Champion.

Sign in to watch on Sky Sports Darts

PDC World Darts Championship: Draw, results, schedule

Mardle backs Humphries for World Darts Championship glory

Stream the World Darts Championship on NOW

World Championship on Sky TV

Follow us @SkySportsDarts

""I know I've got a really tough game against Stephen because he's usually so strong on his doubles, but these are the moments I live for now.

""I want to play the best and be involved in these great games, and hopefully it's a great World Grand Prix. I would love to retain it.""

Humphries kicked off Thursday's action with wins over George Killington and Callum Goffin, before accounting for Connor Scutt and Josh Rock in reaching the last eight.

The 29-year-old then recovered from 4-2 down to topple top seed Dave Chisnall, before fending off a semi-final fightback from Luke Woodhouse, who rallied from 6-2 down to force a decider.

The opening six legs of Thursday's showpiece were shared, although Humphries established some daylight at 5-3, punishing five missed darts at double across two legs from Bunting.

However, the St Helens star responded to regain the initiative, following up legs of 14 and 11 darts with a clinical 72 to move to the cusp of victory at 7-6.

Humphries wasn't to be denied though, converting a two-dart 83 outshot to set up a last-leg shoot-out, where he produced a 12-dart break of throw to secure the spoils.

Bunting - also a runner-up on Tuesday and Wednesday - performed magnificently throughout the afternoon to progress to his third Players Championship final in as many days.

Following early wins against Joshua Richardson and Stefan Bellmont, Bunting registered a quartet of ton-plus averages to progress to his fifth Players Championship final of the season.

The Masters champion followed up a 6-1 demolition of Josh Payne with a brace of 6-4 wins against Radek Szaganski and Robert Owen, before defeating Raymond van Barneveld 7-6 in the semi-finals.

Van Barneveld was one of Thursday's stand-out performers, whitewashing William O'Connor and Jeffrey de Zwaan, while averaging 105 and 104 in crushing wins against Mensur Suljovic and Luke Littler respectively.

The Dutch icon then won through a deciding-leg tussle against his compatriot Danny Noppert in the quarter-finals, although his bid for a second ProTour title of 2024 was halted by a brilliant Bunting.

Woodhouse also impressed in his run to the last four, coming from 5-1 down in his opening-round tie against Adam Gawlas, before averaging almost 106 to see off Ryan Meikle.

The 35-year-old produced more late heroics to overcome Andy Boulton in round three, which was backed up by victories against Dutch duo Wessel Nijman and Christian Kist.

Former Lakeside champion Kist was joined in the last four by his fellow Dutchman Noppert, with Chisnall and Owen making up the quarter-final line-up.

Ritchie Edhouse and Lee Evans also achieved personal milestones in Wigan, with Evans firing in a nine-darter during his superb first round victory over Dirk van Duijvenbode.

Edhouse, meanwhile, recorded an astonishing 120.24 average to whitewash Graham Hall at the same stage, reeling off legs of 12, 10, 13, 14, 15 and 11 darts to cap off the performance of his career.

The 2024 PDC ProTour season resumes later this month, as the Robin Park Tennis Centre plays host to Players Championships 27-28 on October 15-16.

Humphries celebrated his maiden TV ranking title with victory over Gerwyn Price in last year's tournament, and the world No 1 will begin his title defence against Masters champion Stephen Bunting as he bids to join Phil Taylor and Michael van Gerwen in becoming the third player to retain the coveted crown.

Monday's opening night will see eight first-round ties take place at the Mattioli Arena, as teenage sensation Littler makes his World Grand Prix debut against fourth seed Rob Cross.

Live darts returns to Sky Sports with the BoyleSports World Grand Prix in Leicester from October 7-13, featuring some of the sport's very biggest stars.

The annual £600,000 tournament will take place at the Mattioli Arena in Leicester from October 7-13, as 32 of the world's top stars compete for the coveted title which was won by Luke Humphries.

Then in November, the Grand Slam of Darts will be hosted in Wolverhampton as Luke Humphries looks to defend his title.

Attention then turns to the turn of the year and the 2025 PDC World Darts Championship, beginning on December 15, as the darts calendar continues to provide excitement throughout the year - and you can enjoy the very best here live on Sky Sports.

Sky Sports+ has officially launched and will be integrated into Sky TV, streaming service NOW and the Sky Sports app, giving Sky Sports customers access to over 50 per cent more live sport this year at no extra cost. Find out more here.

© 2024 Sky UK"
FIFA to make clubs take strongest squads to Club World Cup,"Football

Man City and Chelsea are the only English teams taking part and FIFA regulations mean they will not be able to allow any players to miss the tournament - which takes place from June 15 to July 13 next summer in the USA - after a long season of domestic and European football

Sky Sports News Chief Reporter

Thursday 3 October 2024 18:39, UK

Please use Chrome browser for a more accessible video player

Clubs participating in next summer's Club World Cup will have to take their strongest squads and field their strongest teams.

FIFA's expanded new 32-team tournament is scheduled to take place in the United States from June 15 to July 13 next summer.

Manchester City and Chelsea are the only English teams taking part and FIFA regulations mean they will not be able to allow any players to miss the tournament after a long season of domestic and European football.

In a further move to make sure squads are as strong as possible, FIFA will allow the member associations of all participating teams to open their transfer window from June 1-10 2025 so new signings can be registered before the tournament starts on June 15.

Clubs can also replace players during a restricted in-competition period from June 27 to July 3 within a set limit and according to specific limitations, including the fact that a ""standard"" registration window must be open for the club at the time.

Players whose contracts expire on June 30 2025 will be allowed to extend their deals until July 13 so they can play in the whole tournament. For example, Manchester City midfielder Kevin De Bruyne could take advantage of this special dispensation if he has not extended his City contract by then.

The regulations of the tournament will also stipulate that no player will be able to play for more than one team in the Club World Cup.

Club World Cup: Everything you need to know

FIFA announces new 32-team Club World Cup

Why FIFA have been warned of revolt over tournament

Get Sky Sports

Playing in the tournament will not count towards rules limiting the number of clubs a player can represent to a maximum of three in one season. There will also be no obligation for teams to release players for international duty during the tournament.

The new regulations were agreed at the FIFA Council meeting in Zurich on Thursday. FIFA wants to make sure the best players play in the tournament and it believes the rules will ensure there is a level playing field for all participating clubs.

Meanwhile, European clubs are discussing proposals for the leading leagues to close their summer transfer windows simultaneously before their seasons start in the middle of August.

Please use Chrome browser for a more accessible video player

Before its revamp for the 2025 tournament, the Club World Cup took place every year in December and was contested by the winners of continental club competitions from around the world.

For example, the winners of the UEFA Champions League would take part in the tournament every year and face off against continental counterparts from South America (CONMEBOL), Asia (AFC), Africa (CAF), North America (CONCACAF) and Oceania (OFC).

But then FIFA announced in December that the competition would be expanded to 32 club teams and would take place every four years.

To replace the annual competition, an Intercontinental Cup will be played annually and have the UEFA Champions League winner playing in the final against a team that comes through intercontinental playoffs.

The tournament format works exactly the same as the FIFA World Cup, only for clubs.

The 32 teams will be divided into eight groups of four teams with the top two teams in each group qualifying to the knockout stage.

The last 16 stage then moves to the quarter-final, semi-final and then final - but there is not third-placed play-off between the two losing semi-final teams.

The draw for the 2025 Club World Cup will take place in December 2024.

Europe

Oceania

South America

North America

Africa

Asia

Tom from Southampton became a millionaire for free with Super 6! Could you be the next jackpot winner? Play for free!

© 2024 Sky UK"
Managers slam referee 'mistakes' as Celtic come back for SWPL draw with Rangers,"Football

Match report and free highlights as Celtic Women came from two-nil down to rescue a point against Rangers Women; Kirsty Howat and Katie Wilkinson goals cancelled out by Saoirse Noonan and Celya Barclais

Thursday 3 October 2024 21:04, UK

Please use Chrome browser for a more accessible video player

Celya Barclais' late goal rescued Celtic a point as they came from 2-0 down to draw 2-2 with Scottish Women's Premier League leaders Rangers.

Both Jo Potter and Elena Sadiku walked away from the fixture questioning several decisions made by the referee on the evening.

The Celtic boss was one of 10 yellow cards dished out throughout the fixture, as she protested the penalty given to Rangers, which Katie Wilkinson eventually converted.

Sadiku claimed the first goal, which was scored by Kirsty Howat, should not have stood due to offside

Rangers saw a header from Tessel Middag chalked off from a similar situation shortly after they had opened the scoring.

""Quite fortunate with the goal. The second was called offside but the first was very similar.""

""If you look at the first goal, it's offside,"" Sadiku told Sky Sports. ""The second one, the penalty is outside the box. That's why I got the yellow card. Sometimes the referees make mistakes.""

Potter added: ""You're in the Old Firm, you have to manage games. A lot of decisions that I'm scratching my head with.""

Scottish Women's Premier League fixtures

Scottish Women's Premier League table

Get Sky Sports

Stream the SWPL and more with NOW

It was a blistering start from Rangers, who were fired into an early lead thanks to a stunning volley from Howat in the fifth minute.

Middag thought she had doubled the lead for her side moments later, only to see her celebrations cut short by the offside flag.

Rio Hardy was deemed to have been obstructing Kelsey Renee Daugherty's view in the Celtic goal for the second, although the opener also involved a similar situation with the same player.

The second half was sparked into life with two quick-fire penalties, as both Wilkinson (64) and Saoirse Noonan (69) slotted the ball away with ease from the spot.

The latter scored with virtually her first touch off the bench and it was another substitute who netted the equaliser, as Barclais was first to react in the box to lash her effort into the bottom left corner in the 87th minute.

Rangers had conceded just one goal prior to this game but saw two fly past Victoria Esson in less than 20 minutes, as the points were shared in the Old Firm derby.

Please use Chrome browser for a more accessible video player

Please use Chrome browser for a more accessible video player

Please use Chrome browser for a more accessible video player

Celtic's Saoirse Noonan speaking to Sky Sports:

""We could have still won at the end but it was a great team effort. We could have snuck three points after that one.

""We could hear both fans and that is what football is about. They are both going at each other but it's a great game for women's football. It was another great test for us. We haven't lost yet.""

It's a quick turnaround before the next fixture for Potter's side with Rangers Women hosting Motherwell Women on Saturday.

Meanwhile, Celtic will have an extra two days of rest before their next game against FC Twente Women on in the Champions League on Tuesday.

Tom from Southampton became a millionaire for free with Super 6! Could you be the next jackpot winner? Play for free!

© 2024 Sky UK"
Rory plays with PGA Tour and LIV chiefs amid Alfred Dunhill Links intrigue,"Golf

Celebrities from sport, TV and film join golf stars including Rory McIlroy, Jon Rahm and Matt Fitzpatrick in the pro-am event; McIlroy hopeful of PGA Tour-LIV deal ""before year's end""; watch Alfred Dunhill Links Championship live on Sky Sports Golf from 12pm on Thursday

Thursday 3 October 2024 18:17, UK

Please use Chrome browser for a more accessible video player

Rory McIlroy will play rounds alongside the two central figures in the long-running talks between the PGA Tour and LIV Golf, while Gareth Bale and Jimmy Anderson feature in a star-studded celebrity field, for what is poised to be an intriguing week at the Alfred Dunhill Links Championship.

Live on Sky Sports Golf from Thursday, the tournament in Scotland features an individual event for the professionals - and a crucial one at that amid the closing weeks of the DP World Tour's Race to Dubai - and a team competition in which the pros are paired with amateurs in rounds across three famous links courses - St Andrews, Carnoustie and Kingsbarns - ahead of a final round at the Old Course for the top performers on Sunday.

And the announcement of the pro-am pairings and playing groups for the week has proved to be eye-catching.

Jay Monahan, the PGA Tour commissioner, and Yasir Al-Rumayyan, who is the governor of the Saudi Arabian Public Investment Fund (PIF) which bankrolls LIV, are both present in Scotland and will play in a group alongside each other and their respective professional player in Thursday's first round.

Teeing off at 9am from Carnoustie's 10th, Monahan is paired with American Billy Horschel for the week, while Al-Rumayyan is teaming up with LIV's Dean Burmester.

McIlroy, who is playing the tournament alongside his father Gerry, will then feature in the same group as Monahan on Friday and Al-Rumayyan on Saturday.

McIlroy was initially an arch-critic of the LIV Golf League when it launched in 2022 but admitted earlier this year that he had been ""too judgmental"" about those players who defected from the established tours, with the four-time major winner now keen to see a peace deal that moves golf forwards together amid continued talks over the framework agreement.

Are changes needed for Presidents Cup?

This week's golf leaderboards

Sky Sports live golf schedule and times

Stream PGA Tour, DP World Tour and more on NOW

Speaking during a practice round at St Andrews on Wednesday, McIlroy told BBC Northern Ireland: ""It's a great thing and a good sign that Jay and Yasir are playing together on Thursday. I think it is a step in the right direction.

""Time will tell if things go in the direction I want them to or a lot of people want them to.

""I think we all understand it is not easy and, you know, change for the most part in golf is resisted because it is such a traditional sport. But I think at this point in time I think change is needed to sort of try and drive the game forward and hopefully we can get to that point.""

A hopeful McIlroy then predicted when asked when the negotiations might reach a conclusion: ""Definitely before the year's end.

""It's a pretty complicated deal, but I think we'll know more by the year's end hopefully.""

This week's tournament is the first of the DP World Tour season's crucial final four events before the end-of-season Play-Offs in the United Arab Emirates in November.

In addition to McIlroy, Tommy Fleetwood and defending champion Matt Fitzpatrick are in this week's field, as are 14 LIV-affiliated players - including Jon Rahm and Tyrrell Hatton, who play on the tour for the second successive week after their appeals against outstanding fines for defecting to the rival series over the past year.

Please use Chrome browser for a more accessible video player

Bale, the former Wales captain and Real Madrid forward who retired from professional football last year, makes his second appearance at the event in the pro-am.

Bale made his debut at the event in 2023 and underlined his golfing abilities in the first round by shooting a one-under-par 71 around the fearsome Carnoustie course.

This year Bale is paired with England's Daniel Brown, the 29-year-old ranked 167 in the world who made a spectacular entrance to major golf at Royal Troon in July when he surged into The Open lead at the end of the first round after a five-under 66 and ended up finishing tied 10th to cap an impressive week.

Please use Chrome browser for a more accessible video player

Paired together in the teams championship, Bale and Brown will first tackle St Andrews in Thursday's first round with a 11.01am tee time when they will play in a group with Marcus Armitage and singer Tom Chaplin from Keane.

On Friday, Bale's group includes Sky Sports pundit and fellow ex-footballer Jamie Redknapp when they will play Carnoustie from 9.55am, while on Saturday he will be part of the same four as Netherlands and AC Milan legend Ruud Gullit at Kingsbarns.

Meanwhile, England legend and fast bowler Jimmy Anderson makes his own second appearance at the event and is teamed up with countryman Sam Bairstow. The pair are the third group off at St Andrews on Thursday morning at 9.22am.

Please use Chrome browser for a more accessible video player

Other sports stars in action in the pro-am include Sir AP McCoy, Sir Ian Botham, Sir Steve Redgrave and Kelly Slater, while the world of film is represented by Michael Douglas, Bill Murray and Kathryn Newton.

McIlroy, chasing a first victory in the event, and his father Gerry tee off at 9.11am at Carnoustie on Thursday, while Matt Fitzpatrick is again teaming up with his mum, Sue, to defend both the individual and teams titles he won in 2023.

With the professionals and their amateur playing partners split across the three famous courses for the opening three days' play in Scotland, Sunday's concluding round is played at St Andrews with the field reduced to the top 60 pros, including ties, and the leading 20 teams.

The DP World Tour heads to Scotland next for the Alfred Dunhill Links Championship, where Rory McIlroy returns to action. Watch live on Thursday from midday on Sky Sports Golf. Stream the DP World Tour, PGA Tour and more with NOW.

Get the best prices and book a round at one of 1,700 courses across the UK & Ireland

Enter Course, City, or Postal Code

No results found. Please try another search.

© 2024 Sky UK"
Explained: How FIFA's regulations will ensure Club World Cup is taken seriously,"Football

Thursday 3 October 2024 19:30, UK

Please use Chrome browser for a more accessible video player

© 2024 Sky UK"
'He's been sent off AGAIN!' | Earnshaw head in hands at Fernandes red!,"Football

Thursday 3 October 2024 22:24, UK

Please use Chrome browser for a more accessible video player

© 2024 Sky UK"
Barclais off the bench to earn Celtic point in Old Firm!,"Football

Thursday 3 October 2024 22:26, UK

Please use Chrome browser for a more accessible video player

© 2024 Sky UK"
'A magical moment!'  | McIlroy's dad shows where Rory gets his talent from!,"Golf

Thursday 3 October 2024 16:22, UK

Please use Chrome browser for a more accessible video player

© 2024 Sky UK"
Carsley: Maguire remains in my plans | Solanke is 'extremely talented',"Football

Thursday 3 October 2024 16:21, UK

Please use Chrome browser for a more accessible video player

© 2024 Sky UK"
Take Time to Think,"The wellbeing of our customers is our top priority 365 days a year, because if it isn’t safe, it isn’t entertaining. From deposit limits to full self-exclusion, we have the people and tools to support you at all times.

Helping you play within your limits; our Safer Gambling tools are here to make gambling safe. Ensuring you only play with what you can afford. Found in My Account, thousands of users already use our Safer Gambling tools to keep gambling safe and entertaining.

Want the facts? Our Profit & Loss tool lets you know how much you’ve won or lost over a select time period, making it easier for you to set and stay on top of your budget for the following day, week, or month.

See Profit & Loss

Want to manage your spend? This tool lets you set a daily, weekly, or monthly deposit limit. Allowing you to enjoy the excitement without going over your budget, limit increases will take 24-hours to kick in, while decreases happen immediately.

Set A Deposit Limit

Need a break? Our Cool Off Period tool is here to help. Allowing you to take a break from the action from one to 30 days. Once your set time is over, you’ll be able to re-access our site and app without needing to contact us.

Take A Break

Do you want to stop completely? Our Self-Exclusion tool will can block your account from six months up to five years on all of our products or one of the three options below to help you stay safe.

Self Exclude

Want to budget your time? Our Reality Check Tool will give you an interval-based reminder of the length of time you have been playing across our Gaming products (Sky Bingo, Sky Casino, Sky Vegas and Sky Bet Games), you can set intervals from 20-minutes up to 2 hours. Setting a reminder with Reality Check will give you the option to log out, view your transaction history or continue playing.

Set A Reality Check

Need to talk? If you’re worried about your gambling habits, we have trained people at Sky Betting & Gaming who can provide support. To talk, click ‘Contact Us’ at the bottom of this page and select ‘Live Chat’. You’ll also find external tools, including free helplines, forums, online resources and website filtering and blocking software to ensure you stay safe.

See Help & Support

Concerned about your habits? You can find out how safe your gambling is via GamCare. In an online assessment, you’ll be asked a series of statements about your gambling behaviour on a scale of 1 - 10. At the end, you’ll be provided with a breakdown of how gambling is affecting your life, alongside personal recommendations for your next steps.
Take a self assessment

TalkBanStop is a new partnership between GamCare, GamBan and GAMSTOP that offers a combination of free tools to support you to stop gambling online. It all starts with a chat.
Find out more

All across the country, people are pausing, taking time to think and using some of the many safer gambling tools to make their experience better. Take time to join them.
Find out more

Want to limit your exposure further? You can do this elsewhere online. Google allows you to block specific advertisers and mute ads similar to others, while social media platforms such as Twitter and Facebook let you limit your exposure to ads, adjust ad preferences, and block specific profiles. You can find further information on how to do this at Gambleaware.

Want Safer Gambling protection outside of Sky Betting & Gaming? You can find various website blocking and filtering software online to help increase your safety. Designed to work across your devices, companies such as Gamban, Gamblock, Betfilter, BetBlocker and Net Nanny work to block thousands of gambling websites, ensuring that when you want to stop, you can.
Find out more

For a list of financial services organisations in the UK that currently offer gambling blocks on debit cards see www.gamcare.org.uk/block-gambling-transactions

Registering for GAMSTOP will block you from online logging into or setting up gambling accounts with businesses licensed in Great Britain if you are a UK resident. It is a free service. You can register for 6 months, 1 year or 5 years. Find out more about multi operator self exclusion.

GamCare operate the National Gambling Helpline and offer confidential information, advice and support for anyone harmed by gambling in Great Britain. The Helpline is open 24 hours every day on Freephone 0808 8020 133 or via Live Chat. Advisers will listen to you, they won't judge and your conversation is confidential. Talk to someone

GamCare offers a moderated online forum and daily online group chatrooms to enable those affected by gambling harms to connect with others in similar situations, share their experience and support one another.Find out more

BeGambleAware provides information, advice and directs people to support to help keep people safe from gambling harms.

The National Gambling Treatment Service is a network of organisations working together to provide confidential treatment and support for anyone experiencing gambling-related harms, free to access across England, Scotland and Wales.

Gambling Therapy are a global online support service, offering advice in multiple languages for people who have been adversely affected by gambling.

We’re always looking to improve Sky Bet for our customers and we’d really like to know what you think of betting with Sky Bet.

Technical problem or query? Click here to chat to one of our advisors

Should your query relate to Safer Gambling/Complaint or require immediate attention, 
                    please contact our offices via Live Chat or Telephone.

Proud sponsors of the

Committed to Safer Gambling

Customers in the United Kingdom: Sky Bet is licensed and regulated by the Gambling Commission (licence number 38718).
            All other customers: Sky Bet is licensed and regulated by Alderney Gambling Control Commission

© 2024 Bonne Terre Limited or its affiliated companies. The Sky trademarks are owned by Sky UK Limited and are used under licence. All rights reserved.

We are committed to
                    
                        Safer Gambling
                    
                    and have a number of self-help tools to help you manage your gambling.

We also work with a number of independent charitable organisations who can offer help and answers any questions you may have.

Loading…"
Win £250k for FREE,No content found in <p> tags.
